ShortName	Item_Name	Item_Cost
CMMF	CAMLOK T'S PARALLEL T (MM/F)	4
CFFM	CAMLOK T'S TAPPING T (FF/M)	4
CT2	CAMLOK 3 TAIL SET  #2  	18
CT2O	CAMLOK 3 TAIL SET  2	20
CFFG	CAMLOK TURNAROUNDS F F GROUND 	3
CFFN	CAMLOK TURNAROUNDS F F NEUTRAL  	3
CMMG	CAMLOK TURNAROUNDS M M GROUND 	3
CMMN	CAMLOK TURNAROUNDS M M NEUTRAL 	3
PMD2	CASSETTE DECK MARANTZ PMD-222 PORTABLE	35
MR2	CASSETTE DECK NAKAMICHI MR 2 	45
IFBN	IFB ACSRY TELEX NL4S INDUCTIVE NECKLOOP (FOR HEARING IMPAIRED)	0
CDP	CD PLAYER PORTABLE	30
CF1S	CHEESEBOROUGH FIXED, 1.5 STEEL	0.75
CS1S	CHEESEBOROUGH SWIVEL, 1.5 STEEL	0.75
DG20	DATA GIRL 2.0 (CHRIS'S BIG JOCKEY)	0
CJ89	CJ CORD 8 PIN 100'	0
CJ8F	CJ CORD 8 PIN 15'	0
CJ8M	CJ CORD 8 PIN 150'	0
CJ85	CJ CORD 8 PIN 50'	0
BEAM	CLAMP FIXTURE I-BEAM    	0
BEAS	CLAMP FIXTURE S-CLAMP 	0
CLUB	CLUB/CABARET RIG LIGHT SYSTEM BLACK 	195
C374	CAMERA SPYCAM SONY SSC-C374 W/ZOOM LENS	80
CB	COLOR BOX 	0
SCYC	CYC 30' X 60'  BLEACHED WHITE	200
DATS	DAT RECORDER SONY TCD D10 PRO (PORTABLE) 	85
MMQM	DATA AUDIO PEBBLES CORD (MINI/M-1/4M)	0
MMQY	DATA AUDIO PEBBLES CORD (MINI/M-TO-DUAL 1/4M Y)	0
DAS	DATA AUDIO SET	0
DG30	DATA GIRL 3.0 (JON'S BIG JOCKEY)	0
IRFU	DIMMER DESK ACSRY ETC INFRARED REMOTE FOCUS UNIT	45
SDCL	DIMMER CARD SPARE- FOR ETC L86	0
LP25	DIMMER DESK ANALOG LEPRECON LP 255 12x1	35
LP24	DIMMER DESK ANALOG LEPRECON LP-250 6x1	25
LP50	DIMMER DESK ANALOG LEPRECON LP-500 12x2	45
LDA6	DIMMER DESK ANALOG NORTHERN 6x1	25
LP61	DIMMER DESK ANALOG / DMX LEPRECON LP-612 12X2 MEMORY	75
LM85	DIMMER DESK ANALOG / DMX LEPRECON LM-850	75
EX2X	DIMMER DESK DMX ETC EXPRESSION 2x	500
LM8D	DIMMER DESK DMX LEPRECON LM-850	50
DR12	DIMMER PACK DMX/3/ETC SENSOR 12 X 2.4K	175
L86	DIMMER PACK DMX/ANALOG/3/LMI L86 12 x 2.4K	175
LD3A	DIMMER TREE PACK ANALOG/SINGLE PH LD360 6 x 1K	60
WARR	DIMMER/CONTROL COMBO WARRIOR 412 (4 X 1.2K)	60
DIRW	DIRECT BOX 4-CHANNEL/WHIRLWIND	30
IMP2	DIRECT BOX BLUE IMP 2	7.5
EGGS	DISCO HANGING STAR STROBE (EGGS)	3
SPIN	DISCO LIGHTING 4 LITE SPINNER (PAR 38) 	30
BELL	DISCO LIGHTING A/C SCHOOL BELL 	30
BPL1	DISCO LIGHTING BLUE POLICE LIGHT 	30
CLOU	DISCO LIGHTING CLOUD DISC. 	0
LAND	WORK LITE, LANDING LIGHT BLUE GLOBE	2
PIN	DISCO LIGHTING PAR 36 PIN SPOT, PL1001UL (NO FRAME)	8
RED	DISCO LIGHTING RED POLICE LIGHT 	30
STRO	DISCO LIGHTING STROBE CANNON w/CONTROLLER 	30
SDBW	DRAPE BLACK COMMANDO 17'W X16'H (A)	50
SDB5	DRAPE BLACK DRAPE 15'W X30'H	75
SDA1	DRAPE BLUE COMANDO 17'W X16'H	75
FLIP	EASEL FLIP CHART	25
MINI	CPU Apple Mac mini Intel Core Solo@1.5gz/ComboDrive/60g/1gm	175
BEP1	EASEL TRIPOD POSTER (BLK FOLDING) 	10
EDIQ	EDISON  W/QUAD BOX 50'	3.75
EDI1	EDISON BLACK CORD 10'	0
EDCT	EDISON CUBE TAP (MIXED COLORS AND STYLES)	0
EDI2	EDISON FLAT GREY 25'	0
EDI5	EDISON FLAT GREY 50'	0
EDY2	EDISON FLAT YELLOW 14/3 25'	0
EDY5	EDISON FLAT YELLOW 14/3 50'	0
EDOS	EDISON ORCHESTRA STRINGER 5 BOX DUPLEX 14/3 40'	7.5
PA25	RGBS LINE AMPLIFIER EXTRON PA250 	75
2070	FLAT PANEL DISPLAY 20 (16:9) NEC LCD-2070WNX *BLACK*	125
2420	FLAT PANEL DISPLAY 24(16:9) ELO 2420L GRAY/TOUCHSCR	200
IRIS	ELLIPSOIDAL ETC SOURCE-4 DROP-IN IRIS UNIT	5
S419	ELLIPSOIDAL ETC SOURCE-4 BARREL #419 6 X 16	0
S436	ELLIPSOIDAL ETC SOURCE-4 BARREL #436 6 X 9	0
AEQ3	EQUALIZER MONO 1/3 OCT ASHLY GQ131  	40
2031	EQUALIZER STEREO 1/3 OCT YAMAHA  Q2031	50
AEQO	EQ, RSG AUDIO RACK ORBAN STEREO PARAMETRIC EQ  	75
FDM9	FASTFOLD BLACK DRESS  6'X18' or 9'X27' 	300
FDV4	FASTFOLD BLACK DRESS 4.5'X6' (54 X 74)	80
CRPC	PROJECTOR ACSRY (CHRISTIE ROADIE) L14-20 POWER CABLE	0
1800	VCR BETACAM/SP RECORDER SONY UVW-1800 (NO REPEAT)	350
PS15	PIPE (1.5) 15'	7.5
FFV6	FASTFOLD FRAME  6'X8'	0
FFVT	FASTFOLD FRAME 10.5'X14'	0
FFV4	FASTFOLD FRAME 4.5'X6' (54X74) 	0
FFM6	FASTFOLD FRAME 6'X18'	0
FFV7	FASTFOLD FRAME 7.5'X10'	0
FFM9	FASTFOLD FRAME 9'X27'	0
FFV9	FASTFOLD FRAME 9'X12'	0
FMVT	FASTFOLD FRONT SHEET 10.5'X14'	140
FMTU	FASTFOLD TRUSS FRONT SHEET 12'X16'	480
FMV4	FASTFOLD FRONT SHEET 4.5'X6' (54X74)	80
FMV6	FASTFOLD FRONT SHEET 6'X8'	100
FMV7	FASTFOLD FRONT SHEET 7.5'X10'	110
FMV9	FASTFOLD FRONT SHEET 9'X12'	130
FRVT	FASTFOLD REAR SHEET 10.5'X14'	150
FRV4	FASTFOLD REAR SHEET 4.5'X6' (54X74) 	90
FRV6	FASTFOLD REAR SHEET 6'X8'	110
FRV7	FASTFOLD REAR SHEET 7.5'X10'	120
FRV9	FASTFOLD REAR SHEET 9'X12'	140
DA64	RGBS D/A (H&V) 1 X 6 EXTRON DA6 RGBHV (QUAD)	300
BETT	FIELD CASE CASE #627 BETTY 	0
WILM	FIELD CASE CASE #628 WILMA 	0
AFIS	FISHPOLE 15' TELE/ W SHOCK 	20
FCP	SALE-FLIPCHART PAD	10
FCM	FOGGER CHILLER MODULE 	25
504	SALE-FOGGER JUICE	14.95
DA62	RGBS D/A (H&V) 1 X 6 EXTRON DA6 RGBHV (PAIR)	150
COME	FOLLOWSPOT ALTMAN COMET 	60
SPOT	FOLLOWSPOT L&E CLUB SPOT 	50
FRE3	FRESNEL 3 ALTMAN -W-C/F/S	6
FREB	FRESNEL 3 ALTMAN BASE	0
FREC	FRESNEL 3 ALTMAN CLAMP	0
BAM6	FRESNEL 6 IANIRO BAMBINO -w- C/F/S	40
BAMF	FRESNEL 6 IANIRO BAMBINO FRAME ONLY	0.5
FRE8	FRESNEL 8 STRAND -W-C/F/S	36
EGTB	GAFFER TAPE BLACK	0
EGTC	GAFFER TAPE BLUE	0
EGTW	GAFFER TAPE WHITE	0
IFBH	IFB SYSTEM WALKMAN DUAL HEADSET 	0
IFB1	IFB SYSTEM TELEX (CH#1)  AAR 10 BELT PACK/REC	35
IFT1	IFB SYSTEM TELEX (CH#1) TELEX AAT 2 TRANSMITTER	0
IFB3	IFB SYSTEM TELEX (CH#3)  AAR 10 BELT PACK/REC 	35
IFT3	IFB SYSTEM TELEX (CH#3) TELEX AAT 2 TRANSMITTER 	0
DA44	RGBS D/A (H&V) 1 X 4 EXTRON DA4 RGBHV (QUAD)	200
ICC9	I COM CABLE (2-CHAN)  BLUE 6 PIN M/F XLR 100'	15
ICC2	I COM CABLE (2-CHAN)  BLUE 6 PIN M/F XLR 25'	3.75
ICC5	I COM CABLE (2-CHAN)  BLUE 6 PIN M/F XLR 50'	7.5
JB2	I COM B/O BOX (2-CHAN) TELEX JB2  (2-CHAN)	0
PS2L	I COM BASE (NO H-SET PLUG) TELEX PS-2L (2-CHAN)	25
BP10	I COM BELTPACK TELEX BP-1000 w/HEADSET	18
IICT	I COM INTERFACE C.C. TO TELEX  	15
PH1	I COM HEADSETS TELEX PH 1 	0
PH2	I COM HEADSETS TELEX PH 2 	0
IITC	I COM INTERFACE TELEX TO C.C. 	15
IC25	I COM SPEAKER STATION TELEX IC25 	0
ICST	I COM STROBE -W-CLEAR-COM ADAPT 	0
PAR2	PAR 20 100W, 120V NSP WHITE	8
LA10	LADDER A FRAME 10'	15
LA8	LADDER A FRAME 8'	10
LASL	LASER POINTER LARGE DRAPER LASER (W/AC ADAPTOR)	30
SUPE	LIFT GENIE ST-25 SUPER TOWER	300
PETE	LIGHT BAR PETE'S BAR 	20
LBPR	LIGHT BAR PETE'S BAR ROLLING RACK 	0
LLL1	TRUSS, LIGHT LADDER, 2 ALUMINUM (BLACK)	20
LITT	WORK LITE, LITTLITE  GOOSENECK-w-BASE	0
AE3	LOUDSPEAKER APOGEE AE-3	60
AE5	LOUDSPEAKER APOGEE AE-5	75
AE8	LOUDSPEAKER APOGEE AE-8	85
SSM	LOUDSPEAKER APOGEE SSM	45
EVMW	LOUDSPEAKER E.V. 1202ER MONITOR WEDGE 	35
SX10	LOUDSPEAKER ELECTROVOICE EV SX-100	35
WSA5	LOUDSPEAKER RAMSA SUBWOOFER WS-A550	45
DA42	RGBS D/A (H&V) 1 X 4 EXTRON DA4 RGBHV (PAIR)	100
S55	LOUDSPEAKER, YAMAHA S55	40
MCTB	CLAMP MATTHEWS T BAR     	2
MCCR	CLAMP MATTHEWS T BAR CABLE RING    	2
C100	MIC AKG C 1000S 	30
409B	MIC AKG C 409B CLIP ON INST. MIC 	25
D112	MIC AKG D 112 	25
1910	SALE-WHITE BOARD MARKERS - SET OF 4	7.25
PRO8	MIC AUDIO TECHNICA PRO-8 HEADSET/XLR	25
AT71	MIC AUDIO TECHNICA ATM 71 HEADSET/XLR INPUT	25
831B	MIC AUDIO TECHNICA  AT 831B LAVALIER 	25
871	MIC AUDIO TECHNICA AT 871 (PZM) 	25
ATM2	MIC AUDIO TECHNICA  ATM 25 	25
CMS8	MIC C-TAPE CMS 8 TAPE TRANSDUCER 	45
MSSM	MIC CLIP ATLAS MIC STAND SHOCK MOUNT 	0
313A	MIC CLIP EV 313A SHOCK CLIP 	2
MC2M	MIC CLIP VARIABLE TWIN MOUNT 	2
ISOX	MIC COUNTRYMAN ISOMAX XLR HEADSET	30
ISOL	MIC COUNTRYMAN ISOMAX LEMO-HEADSET	0
CM32	MIC CROWN CM-312 HEADSET	25
LM3A	MIC CROWN LM 300A 	35
LM3L	MIC CROWN LM 300AL 	35
PCC	MIC CROWN PCC 160 	25
SASS	MIC CROWN SASS P MK II 	50
DS35	MIC ELECTRO VOICE  DS 35 	25
RE20	MIC ELECTRO VOICE  EV RE 20 	25
CCU2	CAMERA/CCU CABLE 26-PIN CCU 250'	75
M510	MIC JVC M510 (SHOTGUN) 	30
WMS2	MIC RAMSA WM S2 	25
MD42	MIC SENNHEISER MD 421 	25
ME80	MIC SENNHEISER ME-80 (SHOTGUN)	30
BSAS	SAFLOK SKIRT	5
520D	MIC SHURE 520D GREEN BULLET 	25
55SH	MIC SHURE 55 SH 	35
B57	MIC SHURE BETA 57 	35
B58	MIC SHURE BETA 58 	35
SM58	MIC SHURE SM 58 	25
SM94	MIC SHURE SM 94 	25
588S	MIC SHURE 588 SD 	20
MFST	MIC STAND AKG BLK/TRIPOD   	4
MFLR	MIC STAND AKG BLK/TRIPOD/BOOM 	5
MFSV	MIC STAND AKG SHORT BLK/TRIPOD/BOOM 	5
MFS1	MIC STAND ATLAS SHORT BARBELL/BOOM 	5
MFS2	MIC STAND ATLAS SLVR/BARBELL 	4
MGOS	MIC STAND GOOSENECK SILVER  13    	0.75
MG18	MIC STAND GOOSENECK   18    	1
MTBF	MIC STAND TABLE, SHORT FIXED SILVER	2
EL22	MIC TELEX ELM-22 LAVALIER -W- P/S	35
MB12	MIRROR BALL  12	20
MB20	MIRROR BALL 20	30
MBM	MIRROR BALL MOTOR 	5
SVFI	S-VIDEO/M FAN-IN TO BNC F/F 1'	0
6835	CRI AUTOMATED FIXTURE MAC 2000 WASH	300
WJ42	VIDEO QUAD SCREEN SPLITTER COLOR, PANASONIC WJ-420/424	125
1402	MIXER MACKIE 1402	50
81PM	MIXER POWERED EV 81PMX 8X1 	85
M268	MIXER SHURE M-268 4X1	30
MM4S	MIXER STEWART MM4-S 4-CH STEREO	30
E6TB	MIC COUNTRYMAN E-6 SHURE TA4F-EARSET (Light Beige)	30
1351	MONITOR COLOR 13 SONY PVM-1351Q (Component/RGBS)	50
2030	MONITOR COLOR 20  SONY PVM-2030 	85
550U	MONITOR COLOR 5  JVC TM-550U 	45
3FG	DIMMER DESK MONITOR NEC-3FG 13 COLOR FOR EXPRESSION	0
1024	RGBS SCAN CONVERTER SONY DSC-1024	300
AD4	30a (3) *ADAPTOR#AD-4* (L21-30 MALE/L21-20FEM)	5
MUL9	MULTI CABLE 100' 6 CIRCUIT VEAM	40
MULF	MULTI CABLE 15' 6 CIRCUIT VEAM	15
MUL2	MULTI CABLE 25' 6 CIRCUIT VEAM	20
MUL5	MULTI CABLE 50' 6 CIRCUIT VEAM	30
MFO4	MULTI FAN-OUT (4') FEMALE PIN to MALE VEAM	18
MFI4	MULTI FAN-IN (4') MALE PIN to FEMALE VEAM	18
MFO9	MULTI FAN-OUT (9') FEMALE PIN to MALE VEAM	18
LMS1	MUSIC STAND CLIP LIGHT 40W	5
789	SALE-OVERHEAD MARKERS, CHISEL TIP - (4)	5
GSK3	RIGGING, GRIPPER SLING KIT, 30' .25 WIRE ROPE X 2	50
FCM1	FOGGER CHILLER CONTROL MODULE SINGLE	20
CHAIR	CHAIR, TALL DIRECTORS, BLACK	25
HOSA	MIXER HOSA MVS-413 AUDIO SELECTOR/STEREO VOLUME CONTROL	15
DATA	STROBE LIGHT DATAFLASH AF-1000 -W-C/S	40
EPAC	PACKING BLANKETS / PADS	0
PA38	PAR 38 LE INCANDESCENT -W-C/F/S 	8
PA4B	PAR 46 PRO CAN (BLACK) -W-C/F/S 	8
PA46	PAR 46 PRO CAN (SILVER) -W-C/F/S 	8
PAS4	PAR SOURCE-4 PAR 750w Black -W-C/F/S	14
QXF1	PATCH CORD 1/4 M TO XLR F 15'	0
QXM6	PATCH CORD 1/4 M TO XLR M 6'	0
QQ50	PATCH CORD 1/4 M-1/4 M 50'	0
QQSN	PATCH CORD 1/4 M-1/4 M SNAKE 6-CHANNEL 15'	0
RMM2	PATCH CORD RCA-RCA DOUBLE	0
RMM1	PATCH CORD RCA-RCA SINGLE	0
TRSI	PATCH CORD TRS INSERT FAN-OUT CABLES	0
PHRS	PATTERN HOLDER ROSCO SLOT 	1
PHSB	PATTERN HOLDER SOURCE-4 B	1
APH0	PHANTOM 4 CHANNEL-STEWART	20
APH1	PHANTOM DUAL CHANNEL-STEWART	10
DVLK	VIDEO LIGHT KIT LOWELL VIP	65
PM5F	PIN ADAPTOR 15a L5-15 FEMALE to PIN MALE 	1.5
PF5M	PIN ADAPTOR 15a L5-15 MALE to PIN FEMALE 	1.5
PFLM	PIN ADAPTOR 20a L5-20 MALE to PIN FEMALE 	1.5
PF2M	PIN ADAPTOR 20AOS MALE to PIN FEMALE 	1.5
FEDS	PIN ADAPTOR FEMALE EDISON (5-15) to PIN MALE 	1.5
MEDS	PIN ADAPTOR MALE EDISON (5-15) to PIN FEMALE 	1.5
PIN1	PIN CABLE 10'	1.5
PIN9	PIN CABLE 100'	6
PIN2	PIN CABLE 25'	2
PIN6	PIN CABLE 5'	1.5
PIN5	PIN CABLE 50'	4
PIN7	PIN CABLE 75'	5
PIN3	PIN THREE FER 	5
PINT	PIN TWO FER 	4
P110	PIPE (1.0) 10'	5
PS10	PIPE (1.5) 10'	5
PS12	PIPE (1.5) 12'	6
PS2	PIPE (1.5) 2'	1
PS3	PIPE (1.5) 3' 	1.5
PS4	PIPE (1.5) 4'	2
PS5	PIPE (1.5) 5' 	2.5
PS6	PIPE (1.5) 6' 	3.5
PS8	PIPE (1.5) 8'	4
PDPL	PIPE AND DRAPE LONG PEG, W/SCREW  6	0
PDX8	PIPE AND DRAPE X BAR LARGE (8')  TDS8024	5
SPE1	PODIUM EXECUTIVE 	75
SPMO	PODIUM PRESIDENTIAL FLOOR MOTORIZED-LITE OAK FINISH	100
APRO	PRODUCTION KIT	0
LQLA	Q LIGHT ALTMAN	5
RFRF	ADAPTS RCA/F-RCA/F BARREL	0
YCP	VCR BETACAM/SP ACSRY YCP-BCR-S TBC REMOTE CONTROLLER	25
PUCK	LOUDSPEAKER TRANSDUCER SolidDrive SD1 DESKTOP KIT	35
1515	FLAT PANEL DISPLAY 15(4:3) ELO 1515L GRAY/TOUCHSCR	125
PHGS	PATTERN HOLDER SOURCE-4, GLASS SLOTTED	1
PR46	RADIO CASE-w-6 UHF PR400/CHRGR/BATTS/4 MIC	150
ATRU	AUDIO TEST IVIE RTA/MIC/CASE	0
ERAT	RATCHET STRAP	0
EMAX	SPEAKER BRACKET, EMAXª BLACK COLOR	0
CJ84	CJ CORD 8 PIN 40'	0
3546	RGBS AUDIO SWITCHER IN-3546 (FOR 4x & 6x INLINE SWITCHERS)	40
3252	RGBS D/A (H&V) 1 X 2 IN-3252	35
RHR9	RGBS SNAKE HI-RES RGBH+V 100'	0
RHR2	RGBS SNAKE HI-RES RGBH+V 200'	0
RGB9	RGBS SNAKE RGBH+V 100' 	0
RGB5	RGBS SNAKE RGBH+V 50'	0
RGBF	RGBS SNAKE RGBH+V 16'	0
RGB4	RGBS SNAKE RGBH+V 3'	0
RGB3	RGBS SNAKE RGBH+V 30'	0
RGB1	RGBS SNAKE RGBH+V 6'	0
RGBX	RGBS SNAKE RGBS 16'	0
RGBV	RGBS SNAKE RGBS 3'	0
RGBY	RGBS SNAKE RGBS 30'	0
RGBZ	RGBS SNAKE RGBS 50'	0
RGBW	RGBS SNAKE RGBS 6'   	0
BOH3	OVERHEAD 7000 LUMEN, ELMO HP-A305 SOLAR	125
VTG1	TEST COMPUTER SIGNAL EMULATOR EXTRON VTG-100	35
VTG2	TEST COMPUTER SIGNAL EMULATOR EXTRON VTG-200	45
D101	DRAPE BLACK COMMANDO 15'W X10'H	30
6000	RSG AUDIO RACK #6000 (DOUBLE WIDE FOH) 	300
6001	RSG AUDIO RACK #6001 (ENHANCED SINGLE FOH)	300
D103	DRAPE BLACK COMMANDO 30'W X10'H	55
R630	RSG AUDIO RACK #630 (APOGEE AE-3 AMP DRIVE)	165
R631	RSG AUDIO RACK #631 (APOGEE AE-3 QSC AMP DRIVE)	165
R650	RSG AUDIO RACK #650-654(APOGEE AE-5 AMP DRIVE)	180
R670	RSG AUDIO RACK #670 (APOGEE SSM/QSC 1.8 AMP DRIVE)	120
R671	RSG AUDIO RACK #671 (APOGEE SSM/MA-1200 AMP DRIVE)	120
R672	RSG AUDIO RACK #672 (APOGEE SSM/MA-1200 AMP DRIVE)	120
R673	RSG AUDIO RACK #673 (APOGEE SSM/QSC 1.8 AMP DRIVE)	120
R680	RSG AUDIO RACK #680-681 (APOGEE AE-8 AMP DRIVE) 	250
SVFF	S-VIDEO ADAPT FEMALE TO FEMALE BARREL	0
SV10	S-VIDEO CABLE 10' AND UNDER	0
SV25	S-VIDEO CABLE 25'	0
SV50	S-VIDEO CABLE 50'	0
BSA2	SAFLOK STAND	12
SAND	SANDBAG 	1.5
SSYP	SCAFFOLDING/YELLOW/1'X 5' PLATFORM BLACK	0
SSYU	SCAFFOLDING YELLOW FOLDING 6' UPRIGHTS W/CASTERS 	0
SA12	SIDE ARM/SLIDE KNUCKLE 12	0.75
SA18	SIDE ARM/SLIDE KNUCKLE 18	0.75
NL41	SPEAKER CABLE NL 4 10'	0
NL49	SPEAKER CABLE NL 4 100'	0
NL42	SPEAKER CABLE NL 4 25'	0
NL45	SPEAKER CABLE NL 4 50'	0
QQS5	SPEAKER CORD 1/4M-1/4M 50'	0
SSEV	SPEAKER STAND ADAPT EV-100S	0
SSUB	SPEAKER STAND ULTIMATE SUPPORT (BLACK)	0
ST10	SPEAKER TWIST 10' AND UNDER	0
ST99	SPEAKER TWIST 100'	0
ST25	SPEAKER TWIST 25'	0
ST50	SPEAKER TWIST 50'	0
ST4F	SPEAKER TWIST ADAPT F/F FAN-OUT TO EP-4F	0
ST4M	SPEAKER TWIST ADAPT F/F FAN-OUT TO EP-4M	0
STFQ	SPEAKER TWIST ADAPT FEMALE TO 1/4 F	0
STMQ	SPEAKER TWIST ADAPT MALE TO 1/4 M	0
STBA	SPEAKER TWIST ADAPT MALE TO BANNANA	0
STMB	SPEAKER TWIST ADAPT MALE TO BARE WIRE	0
STMM	SPEAKER TWIST ADAPT MALE TO MALE	0
BASE	STEEL ROUND 50 LB BASE	10
CTD1	AC T-SHOW DISTRO# 1*SYMANTEC* (2Kw EDISON x12) & LUG BOX	75
CTD8	AC T-SHOW DISTRO# 8*SYMANTEC* (2Kw EDISON x10) & LUG BOX	75
STLF	TABLE-LARGE FOLDING	0
TELB	TEL TREE BASE 	0
TELU	TEL TREE UPRIGHT	25
DH30	TELEPHONE INTERFACE COMREX DH-30 DIGITAL HYBRID 	100
DSAM	TIMER, SPEAKER D'SAN	40
TH6	PAR SOURCE-4 TOPHAT 6	3
TLHC	TRI LITE HANGING CLAMP	0
TLQP	TRI LITE QUICK PIN 	0
TLT8	TRI LITE TRUSS  .8 METER SECTION 	8
TLT6	TRI LITE TRUSS .6 METER SECTION 	7
TLT1	TRI LITE TRUSS 1 METER SECTION 	8
TLT2	TRI LITE TRUSS 2 METER SECTION 	16
TLT3	TRI LITE TRUSS 3 METER SECTION 	24
TLTB	TRI LITE TRUSS BASE 	10
TLCB	TRI LITE TRUSS CORNER BRACE 	0
TLOR	TRI LITE TRUSS OUTRIGGER 	0
TLIN	TRI LITE TRUSS T/A INSERTS 	0
TLAC	TRI LITE TRUSS T2/90A ARCH CORNER 	25
TL3C	TRI LITE TRUSS T3/135 3-WAY CORNER	25
TL1L	TRI LITE TRUSS T3/1L CORNER 	25
TL1R	TRI LITE TRUSS T3/1R CORNER 	25
TLDJ	TRI LITE TRUSS T3/4 DL JUNCTION 	25
TL4J	TRI LITE TRUSS T3/4 JUNCTION	25
TLDL	TRI LITE TRUSS T4/1 DL JUNCTION 	25
BOLT	TRUSS BOLT BOX TOMCAT (64 BOLTS)	0
LDC6	TRUSS TOMCAT 12 6-WAY CUBE SILVER LDCB	35
LDT1	TRUSS TOMCAT 12 TRUSS 10' SILVER LDT-10	70
LDT2	TRUSS TOMCAT 12 TRUSS 2' SILVER LDT-2	14
LDT5	TRUSS TOMCAT 12 TRUSS 5' SILVER LDT-5	35
LDT8	TRUSS TOMCAT 12 TRUSS 8' SILVER LDT-8	56
ULSB	ULTIMATE LITE TREE STAND BLACK 	20
