Location	Schedule	Semester
119	Thursday 9:00 AM to 12:00 PM	1995 Fall
313	Wednesday 12:00 PM to 3:00 PM	1996 Spring
119	Thursday 9:00 AM to 12:00 PM	1996 Winter
119	Thursday 9:00 AM to 12:00 PM	1996 Summer
202	Thursday 9:00 AM to 12:00 PM	1996 Fall
202	Thursday 12:00 AM to 12:00 AM	1997 Winter
119	Thursday 9:00 AM to 12:00 PM	1998 Winter
119	Thursday 9:00 AM to 12:00 PM	1998 Summer
315	Thursday 9:00 AM to 12:00 PM	1998 Fall
315	Thursday 9:00 AM to 12:00 PM	1999 Winter
315	Thursday 9:00 AM to 12:00 PM	1999 Summer
108	Thursday 9:00 AM to 12:00 PM	1999 Fall
108	Thursday 9:00 AM to 12:00 PM	2000 Winter
108	Thursday 9:00 AM to 12:00 PM	2000 Summer
313	Thursday 12:00 AM to 12:00 PM	2001 Fall
313	Thursday 9:00 AM to 12:00 PM	2002 Summer
312	Thursday 9:00 AM to 12:00 PM	2002 Fall
312	Thursday 9:00 AM to 12:00 PM	2003 Winter
119	Thursday 9:00 AM to 12:00 PM	1997 Fall
FF2	Tuesday 6:00 PM to 9:00 PM	1993 Fall
119	Wednesday 6:00 PM to 9:00 PM	1994 Fall
313	Thursday 9:00 AM to 12:00 PM	1999 Summer
313	Wednesdays 12:00 PM to 3:00 PM	1993 Fall
313	Wednesday 12:00 PM to 3:00 AM	1994 Fall
318	Wednesday 12:00 PM to 3:00 PM	1995 Fall
119	Thursday 9:00 AM to 12:00 PM	1996 Winter
313	Thursday 9:00 AM to 12:00 PM	1996 Summer
315	Thursday 9:00 AM to 12:00 PM	1996 Fall
315	Thursday 9:00 AM to 12:00 PM	1997 Winter
314	Thursday 9:00 AM to 12:00 PM	1998 Winter
314	Thursday 9:00 AM to 12:00 PM	1998 Summer
313	Thursday 9:00 AM to 12:00 PM	1998 Fall
313	Thursday 9:00 AM to 12:00 PM	1999 Winter
313	Thursday 9:00 AM to 12:00 PM	1999 Fall
313	Thursday 9:00 AM to 12:00 PM	2000 Winter
313	Thursday 9:00 AM to 12:00 PM	2000 Summer
215	Thursday 9:00 AM to 12:00 PM	2001 Fall
215	Thursday 9:00 AM to 12:00 PM	2002 Winter
215	Thursday 9:00 AM to 12:00 PM	2002 Summer
001	Thursday 9:00 AM to 12:00 PM	2002 Fall
109	Thursday 9:00 AM to 12:00 PM	2003 Winter
314	Thursday 9:00 AM to 12:00 PM	1997 Fall
FF2	Wednesday 12:00 PM to 3:00 PM	1993 Fall
119	Wednesday 12:00 PM to 3:00 PM	1994 Fall
119	Wednesday 12:00 PM to 3:00 PM	1995 Fall
314	Thursday 9:00 AM to 12:00 PM	1996 Winter
314	Thursday 9:00 AM to 12:00 PM	1996 Summer
313	Thursday 9:00 AM to 12:00 PM	1996 Fall
313	Thursday 9:00 AM to 12:00 PM	1997 Winter
315	Thursday 9:00 AM to 12:00 PM	1998 Winter
315	Thursday 9:00 AM to 12:00 PM	1998 Summer
310	Thursday 9:00 AM to 12:00 PM	2001 Fall
310	Thursday 9:00 AM to 12:00 PM	2002 Winter
310	Thursday 9:00 AM to 12:00 PM	2002 Summer
310	Thursday 9:00 AM to 12:00 PM	2002 Fall
310	Thursday 9:00 AM to 12:00 PM	2003 Winter
315	Thursdays 9:00 AM to 12:00 PM	1997 Fall
FF2	Friday 9:00 AM to 12:00 PM	1993 Fall
119	Friday 9:00 AM to 12:00 PM	1994 Fall
119	Friday 9:00 AM to 12:00 PM	1995 Spring
119	Wednesday 6:00 PM to 9:00 PM	1995 Fall
108	Thursday 9:00 AM to 12:00 PM	1996 Winter
108	Thursday 9:00 AM to 12:00 PM	1996 Summer
119	Thursday 9:00 AM to 12:00 PM	1996 Fall
119	Thursday 9:00 AM to 12:00 PM	1997 Winter
114	Thursday 9:00 AM to 12:00 PM	1998 Winter
114	Thursday 9:00 AM to 12:00 PM	1998 Summer
314	Thursday 9:00 AM to 12:00 PM	1998 Fall
310	Thursday 9:00 AM to 12:00 PM	1999 Winter
310	Thursday 9:00 AM to 12:00 PM	1999 Summer
318	Thursday 9:00 AM to 12:00 PM	1999 Fall
315	Thursday 9:00 AM to 12:00 PM	2000 Summer
210	Thursday 9:00 AM to 12:00 PM	2001 Fall
210	Thursday 9:00 AM to 12:00 PM	2002 Winter
210	Thursday 9:00 AM to 12:00 PM	2002 Summer
210	Thursday 9:00 AM to 12:00 PM	2002 Fall
210	Thursday 9:00 AM to 12:00 PM	2003 Winter
114	Thursdays 9:00 AM to 12:00 PM	1997 Fall
318	Thursday 9:00 AM to 12:00 PM	1996 Winter
318	Thursday 9:00 AM to 12:00 PM	1996 Summer
313	Thursday 9:00 AM to 12:00 PM	1998 Winter
313	Thursday 9:00 AM to 12:00 PM	1998 Summer
114	Thursday 9:00 AM to 12:00 PM	1998 Fall
114	Thursday 9:00 AM to 12:00 PM	1999 Winter
315	Thursday 9:00 AM to 12:00 PM	1999 Fall
318	Thursday 9:00 AM to 12:00 PM	2000 Winter
318	Thursday 9:00 AM to 12:00 PM	2000 Summer
312	Thursday 9:00 AM to 12:00 PM	2001 Fall
312	Thursday 9:00 AM to 12:00 PM	2002 Winter
312	Thursday 9:00 AM to 12:00 PM	2002 Summer
313	Thursday 9:00 AM to 12:00 PM	2002 Fall
313	Thursday 9:00 AM to 12:00 PM	2003 Winter
114	Thursday 9:00 AM to 12:00 PM	1999 Summer
313	Thursday 9:00 AM to 12:00 PM	1997 Fall
202	Thursday 9:00 AM to 12:00 PM	1996 Winter
202	Thursday 9:00 AM to 12:00 PM	1996 Summer
318	Thursday 9:00 AM to 12:00 PM	1996 Fall
318	Thursday 9:00 AM to 12:00 PM	1997 Winter
108	Thursday 9:00 AM to 12:00 PM	1998 Winter
108	Thursday 9:00 AM to 12:00 PM	1998 Summer
119	Thursday 9:00 AM to 12:00 PM	1998 Fall
119	Thursday 9:00 AM to 12:00 PM	1999 Winter
119	Thursday 9:00 AM to 12:00 PM	1999 Summer
114	Thursday 9:00 AM to 12:00 PM	1999 Fall
114	Thursday 9:00 AM to 12:00 PM	2000 Winter
114	Thursday 9:00 AM to 12:00 PM	2000 Summer
318	Thursday 9:00 AM to 12:00 PM	2001 Fall
318	Thursday 9:00 AM to 12:00 PM	2002 Winter
318	Thursday 9:00 AM to 12:00 PM	2002 Summer
318	Thursday 9:00 AM to 12:00 PM	2002 Fall
318	Thursday 9:00 AM to 12:00 PM	2003 Winter
108	Thursdays 9:00 AM to 12:00 PM	1997 Fall
315	Thursday 9:00 AM to 12:00 PM	1996 Winter
315	Thursday 9:00 AM to 12:00 PM	1996 Summer
108	Thursday 9:00 AM to 12:00 PM	1996 Fall
108	Thursday 9:00 AM to 12:00 PM	1997 Winter
108	Thursday 9:00 AM to 12:00 PM	1998 Fall
108	Thursday 9:00 AM to 12:00 PM	1999 Winter
108	Thursday 9:00 AM to 12:00 PM	1999 Summer
310	Thursday 9:00 AM to 12:00 PM	1999 Fall
310	Thursday 9:00 AM to 12:00 PM	2000 Winter
310	Mondays 9:00 AM to 12:00 PM	2000 Summer
216	Thursday 9:00 AM to 12:00 PM	2001 Fall
216	Thursday 9:00 AM to 12:00 PM	2002 Winter
216	Thursday 9:00 AM to 12:00 PM	2002 Summer
215	Thurday 9:00 AM to 12:00 PM	2002 Fall
215	Thursday 9:00 AM to 12:00 PM	2003 Winter
314	Thursday 9:00 AM to 12:00 PM	1996 Fall
314	Thursday 9:00 AM to 12:00 PM	1997 Winter
119	Thursday 9:00 AM to 12:00 PM	1999 Fall
119	Thursday 9:00 AM to 12:00 PM	2000 Winter
119	Thursday 9:00 AM to 12:00 PM	2000 Summer
216	Thursday 9:00 AM to 12:00 PM	2002 Fall
216	Thursday 9:00 AM to 12:00 PM	2003 Winter
313	Wednesday 9:00 AM to 12:00 PM	1993 Fall
313	Wednesday 9:00 AM to 12:00 PM	1994 Fall
313	Wednesday 12:00 PM to 3:00 PM	1995 Fall
313	Wednesday 9:00 AM to 12:00 PM	1996 Fall
315	Wednesday 9:00 AM to 12:00 PM	1997 Spring
313	Monday 9:00 AM to 12:00 PM	1998 Winter
313	Monday 9:00 AM to 12:00 PM	1998 Summer
FF2	Tuesday 3:00 PM to 6:00 PM	1991 Spring
315	Wednesday 9:00 AM to 12:00 PM	1995 Spring
315	Wednesday 9:00 AM to 12:00 PM	1996 Spring
318	Monday 9:00 AM to 12:00 PM	1996 Fall
318	Monday 9:00 AM to 12:00 PM	1997 Winter
313	Monday 9:00 AM to 12:00 PM	1998 Fall
313	Monday 9:00 AM to 12:00 PM	1999 Winter
313	Monday 9:00 AM to 12:00 PM	1999 Summer
318	Monday 9:00 AM to 12:00 PM	1999 Fall
318	Monday 9:00 AM to 12:00 PM	2000 Winter
318	Monday 9:00 AM to 12:00 PM	2000 Summer
210	Monday 9:00 AM to 12:00 PM	2001 Fall
210	Monday 9:00 AM to 12:00 PM	2002 Winter
313	Monday 9:00 AM to 12:00 PM	2002 Summer
318	Monday 9:00 AM to 12:00 PM	2002 Fall
318	Monday 9:00 AM to 12:00 PM	2003 Winter
313	Mondays 12:00 AM to 12:00 PM	1997 Fall
FF2	Tuesdays 6:00 PM to 9:00 PM	1993 Spring
119	Wednesday 6:00 PM to 9:00 PM	1995 Spring
108	Monday 9:00 AM to 12:00 PM	1998 Summer
FF2	Wednesday 6:00 PM to 9:00 PM	1991 Spring
315	Wed 9:00 AM to 12:00 PM	1993 Spring
313	Wednesdays 12:00 PM to 3:00 PM	1995 Spring
315	Wednesay 12:00 PM to 3:00 PM	1996 Spring
119	Monday 9:00 AM to 12:00 PM	1996 Fall
119	Monday 9:00 AM to 12:00 PM	1997 Winter
108	Mondays 9:00 AM to 12:00 PM	1997 Fall
108	Monday 9:00 AM to 12:00 PM	1998 Winter
108	Monday 9:00 AM to 12:00 PM	1998 Fall
108	Monday 9:00 AM to 12:00 PM	1999 Winter
108	Monday 9:00 AM to 12:00 PM	1999 Summer
108	Monday 9:00 AM to 12:00 PM	1999 Fall
108	Monday 9:00 AM to 12:00 PM	2000 Winter
108	Monday 9:00 AM to 12:00 PM	2000 Summer
313	Monday 9:00 AM to 12:00 PM	2001 Fall
313	Monday 9:00 AM to 12:00 PM	2002 Summer
313	Monday 9:00 AM to 12:00 PM	2002 Winter
313	Monday 9:00 AM to 12:00 PM	2002 Fall
313	Monday 9:00 AM to 12:00 PM	2003 Winter
119	Wednesday 12:00 PM to 3:00 PM	1995 Spring
FF2	Wednesday 12:00 PM to 3:00 PM	1993 Spring
315	Monday 9:00 AM to 12:00 PM	1998 Summer
315	Wednesday 9:00 AM to 12:00 PM	1991 Spring
108	Monday 9:00 AM to 12:00 PM	1996 Fall
108	Monday 9:00 AM to 12:00 PM	1997 Winter
315	Monday 9:00 AM to 12:00 PM	1998 Winter
314	Monday 9:00 AM to 12:00 PM	1998 Fall
310	Monday 9:00 AM to 12:00 PM	1999 Winter
314	Monday 9:00 AM to 12:00 PM	1999 Summer
119	Monday 9:00 AM to 12:00 PM	1999 Fall
119	Monday 9:00 AM to 12:00 PM	2000 Winter
119	Monday 9:00 AM to 12:00 PM	2000 Summer
318	Monday 9:00 AM to 12:00 PM	2001 Fall
318	Monday 9:00 AM to 12:00 PM	2002 Winter
318	Monday 9:00 AM to 12:00 PM	2002 Summer
216	Monday 9:00 AM to 12:00 PM	2002 Fall
216	Monday 9:00 AM to 12:00 PM	2003 Winter
315	Mondays 9:00 AM to 12:00 PM	1997 Fall
119	Wednesday 6:00 PM to 9:00 PM	1996 Spring
315	Monday 9:00 AM to 12:00 PM	1996 Fall
315	Monday 9:00 AM to 12:00 PM	1997 Winter
114	Monday 9:00 AM to 12:00 PM	1998 Fall
114	Monday 9:00 AM to 12:00 PM	1999 Winter
310	Monday 9:00 AM to 12:00 PM	1999 Summer
315	Monday 9:00 AM to 12:00 PM	1999 Fall
315	Monday 9:00 AM to 12:00 PM	2000 Winter
315	Monday 9:00 AM to 12:00 PM	2000 Summer
310	Monday 9:00 AM to 12:00 PM	2001 Fall
310	Monday 9:00 AM to 12:00 PM	2002 Winter
310	Monday 9:00 AM to 12:00 PM	2002 Summer
312	Monday 9:00 AM to 12:00 PM	2002 Fall
312	Monday 9:00 AM to 12:00 PM	2003 Winter
314	Monday 9:00 AM to 12:00 PM	1998 Summer
314	Mondays 9:00 AM to 12:00 PM	1996 Fall
114	Monday 9:00 AM to 12:00 PM	1997 Winter
314	Monday 9:00 AM to 12:00 PM	1998 Winter
119	Monday 9:00 AM to 12:00 PM	1998 Fall
119	Monday 9:00 AM to 12:00 PM	1999 Winter
119	Monday 9:00 AM to 12:00 PM	1999 Summer
312	Monday 9:00 AM to 12:00 PM	2001 Fall
312	Monday 9:00 AM to 12:00 PM	2002 Winter
312	Monday 9:00 AM to 12:00 PM	2002 Summer
215	Monday 9:00 AM to 12:00 PM	2002 Fall
215	Monday 9:00 AM to 12:00 PM	2003 Winter
314	Mondays 9:00 AM to 12:00 PM	1997 Fall
119	Monday 9:00 AM to 12:00 PM	1998 Summer
313	Monday 9:00 AM to 12:00 PM	1996 Fall
313	Monday 9:00 AM to 12:00 PM	1997 Winter
119	Monday 9:00 AM to 12:00 PM	1998 Winter
315	Monday 9:00 AM to 12:00 PM	1998 Fall
315	Monday 9:00 AM to 12:00 PM	1999 Winter
315	Monday 9:00 AM to 12:00 PM	1999 Summer
310	Monday 9:00 AM to 12:00 PM	1999 Fall
310	Monday 9:00 AM to 12:00 PM	2000 Winter
310	Monday 9:00 AM to 12:00 PM	2000 Summer
215	Monday 9:00 AM to 12:00 PM	2001 Fall
215	Monday 9:00 AM to 12:00 PM	2002 Winter
215	Monday 9:00 AM to 12:00 PM	2002 Summer
210	Monday 9:00 AM to 12:00 PM	2002 Fall
210	Monday 9:00 AM to 12:00 PM	2003 Winter
119	Mondays 9:00 AM to 12:00 PM	1997 Fall
318	Monday 9:00 AM to 12:00 PM	1998 Summer
318	Monday 9:00 AM to 12:00 PM	1998 Winter
313	Monday 9:00 AM to 12:00 PM	1999 Fall
313	Monday 9:00 AM to 12:00 PM	2000 Winter
313	Mondays 9:00 AM to 12:00 PM	2000 Summer
001	Monday 9:00 AM to 12:00 PM	2002 Fall
001	Monday 9:00 AM to 12:00 PM	2003 Winter
318	Mondays 9:00 AM to 12:00 PM	1997 Fall
202	Monday 9:00 AM to 12:00 PM	1998 Winter
202	Monday 9:00 AM to 12:00 PM	1997 Fall
313	Thursday 2:00 PM to 5:00 PM	1996 Fall
318	Monday 5:30 PM to 8:30 PM	2002 Fall
315	Wednesday 9:00 AM to 12:00 PM	1998 Summer
315	Wednesday 9:00 AM to 12:00 PM	1998 Fall
315	Wednesday 9:00 AM to 12:00 PM	1999 Winter
315	Wednesday 9:00 AM to 12:00 PM	1999 Summer
119	Monday 5:00 PM to 8:00 PM	1999 Fall
318	Monday 5:00 PM to 8:00 PM	2000 Winter
119	Monday 5:00 PM to 8:00 PM	2000 Summer
215	Monday 5:30 PM to 8:30 PM	2001 Fall
215	Monday 5:30 PM to 8:30 PM	2002 Winter
215	Monday 5:30 PM to 8:30 PM	2002 Summer
312	Monday 5:30 PM to 8:30 PM	2002 Fall
312	Monday 5:30 PM to 8:30 PM	2003 Winter
315	Wednesday 9:00 AM to 12:00 PM	1998 Winter
315	Wednesday 9:00 AM to 12:00 PM	1997 Fall
119	Wednesday 9:00 AM to 12:00 PM	1998 Winter
119	Wednesday 9:00 AM to 12:00 PM	1998 Fall
119	Wednesday 9:00 AM to 12:00 PM	1999 Winter
119	Wednesday 9:00 AM to 12:00 PM	1999 Summer
318	Monday 5:30 PM to 8:30 PM	1999 Fall
119	Monday 5:00 PM to 8:00 PM	2000 Winter
318	Mondays 5:30 PM to 8:30 AM	2000 Summer
216	Monday 6:00 PM to 9:00 PM	2001 Fall
216	Monday 6:00 PM to 9:00 PM	2002 Winter
216	Monday 6:00 PM to 9:00 PM	2002 Summer
119	Wednesday 9:00 AM to 12:00 PM	1998 Summer
108	Wednesday 9:00 AM to 12:00 PM	1997 Fall
313	Thursday 1:00 PM to 4:00 PM	1998 Winter
313	Thursday 1:00 PM to 4:00 PM	1998 Summer
318	Monday 5:30 PM to 8:30 PM	1998 Fall
318	Monday 6:00 PM to 9:00 PM	1999 Winter
318	Monday 6:00 PM to 9:00 PM	1999 Summer
119	Tuesday 9:00 AM to 12:00 PM	1999 Fall
119	Tuesday 9:00 AM to 12:00 PM	2000 Winter
119	Tuesday 9:00 AM to 12:00 PM	2000 Summer
310	Wednesday 9:00 AM to 12:00 PM	2002 Fall
310	Wednesday 9:00 AM to 12:00 PM	2003 Winter
313	Thursday 1:00 PM to 4:00 PM	1997 Fall
313	Tuesday 1:00 PM to 4:00 PM	1997 Fall
313	Tuesday 1:00 PM to 4:00 PM	1998 Winter
313	Tuesday 1:00 PM to 5:00 PM	1998 Summer
318	Thursday 9:00 AM to 12:00 PM	1998 Fall
318	Thursday 9:00 AM to 12:00 PM	1999 Winter
318	Thursday 9:00 AM to 12:00 PM	1999 Summer
315	Wednesday 9:00 AM to 12:00 PM	1999 Fall
315	Wednesday 9:00 AM to 12:00 PM	2000 Winter
315	Wednesday 9:00 AM to 12:00 PM	2000 Summer
215	Tuesday 5:30 PM to 8:30 PM	2001 Fall
215	Tuesday 5:30 PM to 8:30 PM	2002 Winter
215	Tuesday 5:30 PM to 8:30 PM	2002 Summer
215	Wednesday 5:30 PM to 8:30 PM	2002 Fall
215	Wednesday 5:30 PM to 8:30 PM	2003 Winter
313	Wednesday 1:00 PM to 4:00 PM	1998 Winter
313	Wednesday 2:00 PM to 5:00 PM	1998 Summer
313	Wednesday 2:00 PM to 5:00 PM	1998 Fall
313	Wednesday 2:00 PM to 5:00 PM	1999 Winter
313	Wednesday 2:00 PM to 5:00 PM	1999 Summer
119	Wednesday 9:00 AM to 12:00 PM	1999 Fall
119	Wednesday 9:00 AM to 12:00 PM	2000 Winter
